varied_param,N,Ne,tau,umax,computation_time,arrival_time,penalty_start,penalty_end,penalty_rate,successful,stuck_near_end,map
N,12,3,0.5,1.0,17.473426818847656,,45.75546284281557,21.25320320109998,0.2450225964171559,False,False,easy_map_sa
N,18,3,0.5,1.0,7.994734048843384,120.0,39.653417411770974,0.011106725064530568,0.9910577671676611,True,False,easy_map_sa
N,24,3,0.5,1.0,11.878416538238525,120.0,35.787228186756366,0.006725015885098087,0.8945125792717817,True,False,easy_map_sa
N,30,3,0.5,1.0,17.44241714477539,126.0,33.817616822646194,0.005981459394935189,0.805038937220268,True,False,easy_map_sa
N,36,3,0.5,1.0,31.09665322303772,138.0,27.587807256266,0.004616576060742774,0.5996345800044621,True,False,easy_map_sa
N,12,3,0.5,1.0,21.85889744758606,,42.203040156068546,30.04009999999812,0.12162940156070427,False,False,baseline_map_sa
N,18,3,0.5,1.0,10.92018461227417,117.0,36.54502901754626,0.012269694149535014,0.936737418548634,True,False,baseline_map_sa
N,24,3,0.5,1.0,15.154603242874146,120.0,36.31262545042369,0.0071911170558447415,0.907635858334196,True,False,baseline_map_sa
N,30,3,0.5,1.0,25.306459426879883,126.0,30.332053333333295,0.006241566086499497,0.7220431373153999,True,False,baseline_map_sa
N,36,3,0.5,1.0,39.5904107093811,138.0,30.28337777777814,0.004866694629419251,0.6582285018075809,True,False,baseline_map_sa
N,12,3,0.5,1.0,32.41228413581848,,39.152133333333296,21.880329456186114,0.17271803877147182,False,False,hard_map_sa
N,18,3,0.5,1.0,16.952882289886475,120.0,36.5476918334892,0.009681193055375372,0.9134502660108457,True,False,hard_map_sa
N,24,3,0.5,1.0,24.92432928085327,120.0,33.27966729217704,0.0079622580745938,0.8317926258525612,True,False,hard_map_sa
N,30,3,0.5,1.0,37.57901740074158,129.0,33.231796984695265,0.0063933659752171195,0.7726838050865128,True,False,hard_map_sa
N,36,3,0.5,1.0,67.65819120407104,141.0,27.58801456557979,0.00455951791149047,0.5868820222908149,True,False,hard_map_sa
